threat_id,src_city,dst_city,src_state,dst_state,src_country,dst_country,src_longitude,dst_longitude,src_latitude,dst_latitude,atk_time,atk_type,atk_name
1121,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1122,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1123,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1124,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1125,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1126,UNKNOWN,Bangkok,UNKNOWN,10,France,Thailand,2.3387000000000002,100.65,48.8582,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1127,Singapore,Bangkok,01,10,Singapore,Thailand,103.8558,100.65,1.2931,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1128,UNKNOWN,Bangkok,UNKNOWN,10,France,Thailand,2.3387000000000002,100.65,48.8582,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1129,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1130,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1131,UNKNOWN,Bangkok,UNKNOWN,10,France,Thailand,2.3387000000000002,100.65,48.8582,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1132,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1133,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1134,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1135,Miami,Bangkok,FL,10,United States,Thailand,-80.3889,100.65,25.9098,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1136,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1137,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1138,Singapore,Bangkok,01,10,Singapore,Thailand,103.8558,100.65,1.2931,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1139,UNKNOWN,Bangkok,UNKNOWN,10,France,Thailand,2.3387000000000002,100.65,48.8582,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1140,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1141,Miami,Bangkok,FL,10,United States,Thailand,-80.3889,100.65,25.9098,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1142,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1143,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1144,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1145,Miami,Bangkok,FL,10,United States,Thailand,-80.3889,100.65,25.9098,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1146,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1147,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1148,Singapore,Bangkok,01,10,Singapore,Thailand,103.8558,100.65,1.2931,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1149,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1150,UNKNOWN,Bangkok,UNKNOWN,10,France,Thailand,2.3387000000000002,100.65,48.8582,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1151,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1152,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1153,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1154,Singapore,Bangkok,01,10,Singapore,Thailand,103.8558,100.65,1.2931,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1155,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1156,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1157,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1158,UNKNOWN,Bangkok,UNKNOWN,10,France,Thailand,2.3387000000000002,100.65,48.8582,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1159,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1160,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1161,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1162,UNKNOWN,Bangkok,UNKNOWN,10,France,Thailand,2.3387000000000002,100.65,48.8582,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1163,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1164,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
