USPS	GEOID	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                        
AZ	04023	State Senate District 23	3147885183	34389071	1215.405	13.278	33.712879	-111.574308                                                                                                             
AZ	04024	State Senate District 24	96510002	382172	37.263	0.148	33.481006	-112.018856                                                                                                                    
AZ	04025	State Senate District 25	194340885	1850222	75.035	0.714	33.444112	-111.729719                                                                                                                  
AZ	04026	State Senate District 26	312199781	7985784	120.541	3.083	33.48428	-111.826964                                                                                                                  
AZ	04027	State Senate District 27	655800560	1259367	253.206	0.486	33.323973	-112.109901                                                                                                                 
AZ	04028	State Senate District 28	202019469	624777	78.	0.241	33.560549	-112.017961                                                                                                                      
AZ	04029	State Senate District 29	118736916	393284	45.845	0.152	33.517939	-112.243539                                                                                                                   
AZ	04030	State Senate District 30	82117962	156463	31.706	0.06	33.518321	-112.136619                                                                                                                     
AR	05001	State Senate District 1	780910506	4675303	301.511	1.805	36.281422	-94.303909                                                                                                                   
AR	05002	State Senate District 2	1644502585	14708309	634.946	5.679	36.129637	-94.38769                                                                                                                  
AR	05003	State Senate District 3	717465125	82268499	277.015	31.764	36.359502	-94.015892                                                                                                                 
AR	05004	State Senate District 4	337104768	3271702	130.157	1.263	36.022855	-94.163096                                                                                                                   
AR	05005	State Senate District 5	6170636715	59422140	2382.496	22.943	35.938586	-93.869239                                                                                                               
AR	05006	State Senate District 6	6687801730	194355199	2582.175	75.041	35.248317	-93.549121                                                                                                              
AR	05007	State Senate District 7	560347178	13856906	216.351	5.35	36.096154	-94.032159                                                                                                                   
AR	05008	State Senate District 8	346422576	6367025	133.755	2.458	35.245762	-94.341514                                                                                                                   
AR	05009	State Senate District 9	3613376818	53813318	1395.133	20.777	34.997206	-94.162342                                                                                                               
AR	05010	State Senate District 10	10307987223	179288274	3979.936	69.224	34.237698	-93.793505                                                                                                            
AR	05011	State Senate District 11	6067745442	213621601	2342.77	82.48	33.526335	-93.942136                                                                                                               
AR	05012	State Senate District 12	8263002676	29510429	3190.363	11.394	33.692524	-92.980352                                                                                                              
AR	05013	State Senate District 13	3434174987	127780171	1325.942	49.336	34.409397	-92.931996                                                                                                             
AR	05014	State Senate District 14	1732894882	51454876	669.074	19.867	34.663085	-92.956112                                                                                                               
AR	05015	State Senate District 15	4131213615	110912484	1595.071	42.824	35.122944	-92.702186                                                                                                             
AR	05016	State Senate District 16	5932057512	58564958	2290.38	22.612	35.714853	-93.016921                                                                                                               
AR	05017	State Senate District 17	3322387231	180892626	1282.781	69.843	36.327057	-92.776895                                                                                                             
AR	05018	State Senate District 18	8205128592	188977390	3168.018	72.965	35.83717	-92.228088                                                                                                              
AR	05019	State Senate District 19	7026214914	43490485	2712.837	16.792	36.081018	-91.515061                                                                                                              
AR	05020	State Senate District 20	5018134578	24876905	1937.513	9.605	36.177234	-90.692214                                                                                                               
