GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
01349,19913509,543842,7.689,0.21,42.563061,-72.482115
01350,27739754,308074,10.71,0.119,42.727772,-72.985346
01351,54182276,1126538,20.92,0.435,42.53988,-72.521689
01354,35664167,2668873,13.77,1.03,42.624101,-72.508607
01355,122669026,35753901,47.363,13.805,42.458551,-72.327191
01360,88740940,2814919,34.263,1.087,42.677091,-72.453876
01364,101615807,2843805,39.234,1.098,42.605437,-72.292074
01366,104578989,1454149,40.378,0.561,42.475621,-72.192468
01367,68713849,1765720,26.531,0.682,42.695532,-72.909148
01368,108362247,1836499,41.839,0.709,42.679456,-72.176935
01370,129040932,1434231,49.823,0.554,42.593376,-72.726928
01373,62598285,1472415,24.169,0.569,42.475481,-72.615403
01375,36831825,1345466,14.221,0.519,42.466691,-72.546751
01376,7137441,1482835,2.756,0.573,42.59528,-72.555002
01378,88126732,814990,34.026,0.315,42.673533,-72.353213
01379,78225204,969491,30.203,0.374,42.556308,-72.407153
01420,78529489,1773646,30.32,0.685,42.584925,-71.816862
01430,95694904,6792335,36.948,2.623,42.657005,-71.923442
01431,61290098,1000254,23.664,0.386,42.676293,-71.832523
01432,21939380,1211472,8.471,0.468,42.564663,-71.567298
01434,13669087,401234,5.278,0.155,42.539753,-71.61233
01436,24837996,512350,9.59,0.198,42.602059,-72.087015
01438,1403966,48433,0.542,0.019,42.562243,-72.031402
01440,62245169,2514727,24.033,0.971,42.588337,-71.986069
01450,84895216,2596565,32.778,1.003,42.611636,-71.564743
01451,49574292,1669980,19.141,0.645,42.501908,-71.568201
01452,106329263,2404684,41.054,0.928,42.495111,-72.002339
01453,73757606,1360201,28.478,0.525,42.519967,-71.763319
01460,42775114,2573791,16.516,0.994,42.535931,-71.490569
01462,68427915,3433020,26.42,1.325,42.582607,-71.720464
01463,58485761,1531789,22.581,0.591,42.670643,-71.602858
01464,38791621,204573,14.978,0.079,42.573654,-71.640986
01467,4891512,34601,1.889,0.013,42.489495,-71.609346
01468,55435850,697085,21.404,0.269,42.542767,-72.068345
01469,59006708,587943,22.783,0.227,42.664794,-71.695055
01473,91788817,4700075,35.44,1.815,42.5546,-71.90544
01474,25720067,78185,9.931,0.03,42.669685,-71.752751
01475,110974589,2713727,42.848,1.048,42.66816,-72.055644
01501,40042633,2404899,15.461,0.929,42.198708,-71.846006
01503,33602274,521374,12.974,0.201,42.384929,-71.633889
01504,28774248,825566,11.11,0.319,42.039991,-71.532406
01505,41586643,9557758,16.057,3.69,42.355049,-71.716157
01506,40216392,2734658,15.528,1.056,42.180807,-72.107888
01507,109244211,4178898,42.179,1.613,42.133935,-71.968025
01510,14642435,4176666,5.653,1.613,42.411887,-71.690005
01515,25570221,1427830,9.873,0.551,42.209682,-72.040178
01516,95233275,4020462,36.77,1.552,42.053072,-71.752241
01518,23006297,1928708,8.883,0.745,42.127477,-72.118818
01519,28272672,279340,10.916,0.108,42.203404,-71.679739
01520,46822227,1802446,18.078,0.696,42.336385,-71.850759
01521,31821358,1990947,12.286,0.769,42.046783,-72.180212
01522,42423771,1400937,16.38,0.541,42.375634,-71.867382
01523,65273332,1166195,25.202,0.45,42.483569,-71.675585
01524,41392441,2491903,15.982,0.962,42.249636,-71.919248
01525,1162429,81164,0.449,0.031,42.106794,-71.630518
01527,40346642,1861974,15.578,0.719,42.192246,-71.777649
