USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
CA	0606004	Twin Rivers Unified School District (7-12)	07	12	25662735	0	9.908	0.	38.655109	-121.447322                                                                                                   
CA	0606005	Scott Valley Unified School District (9-12)	09	12	1665938719	4125720	643.223	1.593	41.266394	-123.170517                                                                                     
CA	0606006	Trinity Alps Unified School District (9-12)	09	12	2968843743	65289153	1146.277	25.208	40.917078	-123.061783                                                                                  
CA	0606013	Turlock Unified School District (9-12)	09	12	190107914	477368	73.401	0.184	37.482343	-120.95373                                                                                              
CA	0606015	Santa Cruz City High School District (9-12)	09	12	45662032	68773652	17.63	26.554	36.954599	-121.975531                                                                                       
CA	0606016	Dinuba Unified School District (9-12)	09	12	73237774	0	28.277	0.	36.490608	-119.340155                                                                                                       
CA	0606018	Washington Unified School District (9-12)	09	12	116674615	94412	45.048	0.036	36.645101	-119.797572                                                                                           
CA	0606019	Santa Barbara Unified School District (7-12)	07	12	291564722	178335011	112.574	68.856	34.4401	-119.845687                                                                                    
CA	0606020	Lammersville Joint Unified School District (9-12)	09	12	70258461	1041286	27.127	0.402	37.744419	-121.578811                                                                                  
CA	0606021	Bishop Unified School District (9-12)	09	12	476790136	4512133	184.09	1.742	37.405439	-118.630103                                                                                             
CA	0606022	Santa Paula Unified School District (9-12)	09	12	204076384	2307057	78.794	0.891	34.421516	-119.067007                                                                                        
CA	0606025	Hamilton Unified School District (9-12)	09	12	30867817	929530	11.918	0.359	39.778719	-122.075414                                                                                             
CA	0606026	Woodlake Unified School District (9-12)	09	12	1873057492	6070456	723.192	2.344	36.436989	-118.671532                                                                                         
CA	0606028	Exeter Unified School District (9-12)	09	12	131048748	3118304	50.598	1.204	36.328417	-119.094463                                                                                             
CA	0606031	Tracy Unified School District (9-12)	09	12	551000092	5621669	212.742	2.171	37.647445	-121.412419                                                                                             
CA	0606034	Perris Union High School District (9-12)	09	12	343624234	1127032	132.674	0.435	33.732926	-117.14899                                                                                          
CA	0606037	Alhambra Unified School District (9-12)	09	12	11664643	120610	4.504	0.047	34.058766	-118.09643                                                                                               
CA	0606038	Healdsburg Unified School District (7-12)	07	12	368813934	1103730	142.4	0.426	38.702128	-122.874144                                                                                          
CA	0606053	Gonzales Unified School District (9-12)	09	12	262182933	2187066	101.229	0.844	36.570336	-121.517617                                                                                          
CA	0606107	Porterville Unified School District (9-12)	09	12	4879220864	1183581	1883.878	0.457	36.071498	-118.558955                                                                                     
CA	0607230	Campbell Union High School District	09	12	78445531	148821	30.288	0.057	37.275424	-121.946294                                                                                                 
CA	0607920	Centinela Valley Union High School District	09	12	23876392	91685	9.219	0.035	33.91028	-118.348081                                                                                            
CA	0608010	Central Union High School District	09	12	405475149	177538	156.555	0.069	32.741078	-115.642152                                                                                                
CA	0608160	Chaffey Joint Union High School District	09	12	423267179	99794	163.424	0.039	34.138557	-117.577679                                                                                           
CA	0608550	Chowchilla Union High School District	09	12	584104181	2395288	225.524	0.925	37.072124	-120.29693                                                                                             
CA	0609810	Corning Union High School District	09	12	1570562599	14233130	606.398	5.495	39.893682	-122.487429                                                                                             
CA	0610860	Delano Joint Union High School District	09	12	1197024010	5348009	462.174	2.065	35.763095	-119.246952                                                                                         
CA	0611700	Dunsmuir Joint Union High School District	09	12	666714228	2649732	257.42	1.023	41.142302	-122.309977                                                                                         
CA	0611780	East Nicolaus Joint Union High School District	09	12	379114748	3100338	146.377	1.197	38.854822	-121.533357                                                                                   
CA	0611820	East Side Union High School District	09	12	354509776	516255	136.877	0.199	37.327098	-121.77708                                                                                               
CA	0612070	El Dorado Union High School District	09	12	2881672649	28426293	1112.62	10.975	38.707909	-120.590922                                                                                          
CA	0612120	El Monte Union High School District	09	12	54666962	3700700	21.107	1.429	34.069522	-118.037899                                                                                                
CA	0612910	Escondido Union High School District	09	12	272444539	3141331	105.191	1.213	33.123265	-117.059489                                                                                             
CA	0613530	Fallbrook Union High School District	09	12	717819333	99500323	277.152	38.417	33.380238	-117.3901                                                                                             
CA	0614190	Fortuna Union High School District	09	12	1457888192	18490081	562.894	7.139	40.491153	-123.836764                                                                                             
CA	0614430	Fremont Union High School District	09	12	144990996	349209	55.981	0.135	37.329359	-122.061499                                                                                                 
CA	0614760	Fullerton Joint Union High School District	09	12	112064141	173320	43.268	0.067	33.903691	-117.949187                                                                                         
CA	0614820	Galt Joint Union High School District	09	12	669657058	7125442	258.556	2.751	38.28575	-121.239905                                                                                             
CA	0616230	Grossmont Union High School District	09	12	1210852101	18237309	467.513	7.041	32.7738	-116.818432                                                                                             
CA	0616500	Hanford Joint Union High School District	09	12	649033555	189281	250.593	0.073	36.304747	-119.614117                                                                                          
CA	0618060	Huntington Beach Union High School District	09	12	115697404	103496911	44.671	39.96	33.684634	-118.021193                                                                                     
CA	0618930	Jefferson Union High School District	09	12	83564591	142478499	32.264	55.011	37.69021	-122.496269                                                                                             
CA	0619110	Julian Union High School District	09	12	1624960050	3926945	627.401	1.516	33.047023	-116.459073                                                                                               
CA	0619540	Kern High School District	09	12	7737493794	50934464	2987.463	19.666	35.393093	-118.777229                                                                                                    
CA	0619650	South Monterey County Joint Union High School District	09	12	4844500346	60074490	1870.472	23.195	36.114367	-121.048797                                                                       
CA	0619830	Kingsburg Joint Union High School District	09	12	253780304	932528	97.985	0.36	36.469336	-119.53299                                                                                           
CA	0621060	Lassen Union High School District	09	12	6353914804	381951422	2453.26	147.472	40.609628	-120.459852                                                                                           
CA	0621270	Le Grand Union High School District	09	12	465322621	0	179.662	0.	37.235877	-120.261402                                                                                                       
CA	0621400	Lemoore Union High School District	09	12	661401589	311121	255.369	0.12	36.233135	-119.843559                                                                                                 
CA	0621600	Liberty Union High School District	09	12	503033380	61858556	194.222	23.884	37.922228	-121.668359                                                                                             
CA	0622800	Los Gatos-Saratoga Joint Union School District	09	12	365679777	2432713	141.19	0.939	37.175282	-121.965995                                                                                    
CA	0624660	Merced Union High School District	09	12	1803931124	9497004	696.502	3.667	37.35732	-120.525608                                                                                                
CA	0625150	Modesto City High School District	09	12	430260451	3641633	166.124	1.406	37.662361	-121.034221                                                                                                
CA	0626310	Mountain View-Los Altos Union School District	09	12	96960365	9223664	37.437	3.561	37.38681	-122.099818                                                                                       
CA	0626880	Nevada Joint Union High School District	09	12	1886919494	28189930	728.544	10.884	39.277691	-120.933687                                                                                       
CA	0629130	Oroville Union High School District	09	12	1661910695	69733993	641.667	26.924	39.604174	-121.430912                                                                                           
CA	0629270	Oxnard Union High School District	09	12	598565649	285939432	231.107	110.402	34.166617	-119.084151                                                                                            
CA	0630210	Perris Union High School District	07	12	126795187	41199	48.956	0.016	33.773702	-117.293707                                                                                                   
CA	0630250	Petaluma Joint Union High School District	07	12	636423419	43431378	245.724	16.769	38.198827	-122.634293                                                                                      
CA	0630750	Placer Union High School District	09	12	2200817037	25227691	849.74	9.74	39.071528	-120.712218                                                                                                
CA	0631230	Point Arena Joint Union High School District	09	12	1044768998	422977134	403.388	163.312	38.834908	-123.518568                                                                                
CA	0632010	Red Bluff Joint Union High School District	09	12	5520210848	18078873	2131.365	6.98	40.251717	-122.168714                                                                                     
CA	0633630	Roseville Joint Union High School District	09	12	183514559	12566950	70.855	4.852	38.764057	-121.296468                                                                                       
CA	0633980	Salinas Union High School District	07	12	668548234	4574842	258.128	1.766	36.65316	-121.615322                                                                                                
CA	0634140	San Benito High School District	09	12	2659329110	1723380	1026.773	0.665	36.653573	-121.099188                                                                                                
CA	0634380	San Dieguito Union High School District	07	12	209030533	108314193	80.707	41.82	33.016106	-117.254516                                                                                         
CA	0634980	San Mateo Union High School District	09	12	162216762	122120239	62.632	47.151	37.579426	-122.330304                                                                                           
CA	0635110	San Rafael City High School District	09	12	93232090	61043649	35.997	23.569	38.005569	-122.502811                                                                                             
CA	0635600	Santa Cruz City High School District	07	12	255103642	62594562	98.496	24.168	37.079586	-122.174491                                                                                            
CA	0635670	Santa Maria Joint Union High School District	09	12	1462819841	159615848	564.798	61.628	34.874692	-120.354736                                                                                 
CA	0635830	Santa Rosa High School District	07	12	476361859	859758	183.924	0.332	38.457045	-122.669278                                                                                                   
CA	0635850	Santa Ynez Valley Union High School District	09	12	3040023450	223865110	1173.76	86.435	34.635871	-119.894995                                                                                 
CA	0636390	Sequoia Union High School District	09	12	256592647	63013904	99.071	24.33	37.464093	-122.225537                                                                                               
CA	0636600	Shasta Union High School District	09	12	4704683772	44636698	1816.489	17.234	40.615072	-122.2271                                                                                              
CA	0636940	Siskiyou Union High School District	09	12	5528944974	25161542	2134.738	9.715	41.424916	-122.577296                                                                                           
CA	0636972	Victor Valley Union High School District	07	12	1424343490	5156020	549.942	1.991	34.663087	-117.447277                                                                                        
CA	0637260	Sonora Union High School District	09	12	806139872	47022170	311.252	18.155	37.922725	-120.422503                                                                                              
CA	0638280	Summerville Union High School District	09	12	3282313378	46689334	1267.308	18.027	38.141434	-119.927617                                                                                       
CA	0638610	Sutter Union High School District	09	12	619800581	4762686	239.306	1.839	39.062428	-121.773589                                                                                                
CA	0638640	Sweetwater Union High School District	07	12	388996257	22126749	150.192	8.543	32.601362	-116.986081                                                                                           
CA	0638730	Taft Union High School District	09	12	1441819224	2410560	556.69	0.931	35.319833	-119.617834                                                                                                  
CA	0638790	Tamalpais Union High School District	09	12	442302443	319621374	170.774	123.407	37.945624	-122.686388                                                                                         
CA	0639930	Tulare Joint Union High School District	09	12	942066565	1568481	363.734	0.606	36.10552	-119.370643                                                                                           
CA	0641430	Wasco Union High School District	09	12	1991512575	4717058	768.927	1.821	35.638065	-119.760851                                                                                                
CA	0642350	Wheatland Union High School District	09	12	403285498	3700187	155.709	1.429	39.085259	-121.40737                                                                                              
CA	0642480	Whittier Union High School District	09	12	103986863	673334	40.15	0.26	33.967093	-118.03767                                                                                                   
CA	0642510	William S. Hart Union High School District	07	12	1013510116	14081195	391.318	5.437	34.48659	-118.552018                                                                                      
CA	0643410	Yreka Union High School District	09	12	3356625091	20958631	1296.	8.092	41.7985	-122.632269                                                                                                   
CA	0699001	Gridley Unified School District (9-12)	09	12	29400975	227326	11.352	0.088	39.326302	-121.663897                                                                                              
CA	0699002	Caruthers Unified School District (9-12)	09	12	156730816	103327	60.514	0.04	36.579289	-119.903563                                                                                            
