USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
NH	3302610	Derry School District	KG	12	91877137	2128136	35.474	0.822	42.887613	-71.282047                                                                                                               
NH	3302760	Dunbarton School District	KG	12	79934543	1197090	30.863	0.462	43.116395	-71.595437                                                                                                           
NH	3302790	East Kingston School District	KG	05	25675854	145601	9.914	0.056	42.925865	-71.002633                                                                                                         
NH	3302910	Epsom School District	KG	12	89140719	512717	34.417	0.198	43.204812	-71.348563                                                                                                                
NH	3302940	Errol School District	KG	12	156315970	23539434	60.354	9.089	44.758253	-71.108812                                                                                                             
NH	3302970	Exeter School District	PK	05	50886727	967948	19.647	0.374	42.988453	-70.961542                                                                                                               
NH	3303120	Freedom School District	PK	12	89961656	8215958	34.734	3.172	43.842036	-71.075161                                                                                                             
NH	3303150	Fremont School District	PK	12	44490444	587950	17.178	0.227	43.000369	-71.119162                                                                                                              
NH	3303210	Gilmanton School District	KG	12	149961213	4431033	57.9	1.711	43.43159	-71.366322                                                                                                             
NH	3303276	Mason School District	KG	12	61990100	143147	23.935	0.055	42.742181	-71.750968                                                                                                                
NH	3303303	Lempster School District	KG	12	83702836	1103299	32.318	0.426	43.236564	-72.184869                                                                                                            
NH	3303360	Grantham School District	KG	12	70383367	2264509	27.175	0.874	43.51659	-72.149093                                                                                                             
NH	3303420	Greenland School District	PK	12	27139792	7352942	10.479	2.839	43.039732	-70.845622                                                                                                           
NH	3303480	Hampstead School District	PK	12	34757251	1723006	13.42	0.665	42.881061	-71.171883                                                                                                            
NH	3303510	Hampton School District	PK	08	33433661	4454963	12.909	1.72	42.93913	-70.834273                                                                                                               
NH	3303540	Hampton Falls School District	KG	08	31641602	1042669	12.217	0.403	42.924811	-70.886242                                                                                                       
NH	3303600	Hanover School District	KG	05	126982169	2868356	49.028	1.107	43.721023	-72.185207                                                                                                            
NH	3303630	Harrisville School District	KG	12	48307691	4083389	18.652	1.577	42.948536	-72.068986                                                                                                         
NH	3303690	Henniker School District	PK	08	114267231	1767818	44.119	0.683	43.169407	-71.831201                                                                                                           
NH	3303720	Hill School District	KG	12	68774497	459853	26.554	0.178	43.528306	-71.769192                                                                                                                 
NH	3303810	Holderness School District	KG	08	78860821	14101574	30.448	5.445	43.761761	-71.582529                                                                                                         
