USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
VA	51033	01480107	Caroline County	1366502845	24928486	527.61	9.625	38.030319	-77.352348                                                                                                                 
VA	51035	01480108	Carroll County	1229582124	7586467	474.744	2.929	36.731963	-80.727831                                                                                                                  
VA	51036	01480109	Charles City County	473494109	55492134	182.817	21.426	37.361054	-77.05417                                                                                                             
VA	51037	01492442	Charlotte County	1231010119	5809378	475.296	2.243	37.009042	-78.658568                                                                                                                
VA	51041	01480111	Chesterfield County	1097033443	34755427	423.567	13.419	37.378434	-77.585847                                                                                                           
VA	51043	01690562	Clarke County	455664152	5690611	175.933	2.197	39.115381	-77.990836                                                                                                                    
VA	51045	01673664	Craig County	849770458	2793174	328.098	1.078	37.473603	-80.231051                                                                                                                     
VA	51047	01497831	Culpeper County	982089169	9005137	379.187	3.477	38.48593	-77.956476                                                                                                                   
VA	51049	01494109	Cumberland County	770525894	5917831	297.502	2.285	37.520189	-78.252836                                                                                                                
VA	51051	01497376	Dickenson County	855860629	8082181	330.45	3.121	37.136701	-82.34922                                                                                                                   
VA	51053	01690739	Dinwiddie County	1305091846	8954562	503.899	3.457	37.073498	-77.635492                                                                                                                
VA	51057	01480118	Essex County	665884530	74795130	257.099	28.879	37.93948	-76.941871                                                                                                                    
VA	51059	01480119	Fairfax County	1012684309	40126920	391.	15.493	38.82952	-77.273252                                                                                                                    
VA	51061	01480120	Fauquier County	1678326423	9635106	648.005	3.72	38.744096	-77.8215                                                                                                                    
VA	51063	01494354	Floyd County	986585627	2190752	380.923	0.846	36.931433	-80.350266                                                                                                                     
VA	51065	01494061	Fluvanna County	743630414	10747025	287.117	4.149	37.830571	-78.283479                                                                                                                 
VA	51067	01494434	Franklin County	1788700725	54378567	690.621	20.996	36.991186	-79.882715                                                                                                               
VA	51069	01480124	Frederick County	1070101640	5935153	413.169	2.292	39.20366	-78.263829                                                                                                                 
VA	51071	01494551	Giles County	925205279	11234370	357.224	4.338	37.318072	-80.698321                                                                                                                    
VA	51073	01480126	Gloucester County	564117808	181754414	217.807	70.176	37.403541	-76.523505                                                                                                             
VA	51075	01674271	Goochland County	726830014	21963167	280.631	8.48	37.718814	-77.917626                                                                                                                 
VA	51077	01501196	Grayson County	1144218810	9792929	441.785	3.781	36.652229	-81.215324                                                                                                                  
VA	51079	01480129	Greene County	403865093	1680243	155.933	0.649	38.297981	-78.470163                                                                                                                    
VA	51081	01501122	Greensville County	764634552	4086108	295.227	1.578	36.680336	-77.560277                                                                                                               
VA	51083	01496705	Halifax County	2117910064	30527646	817.73	11.787	36.766461	-78.939614                                                                                                                 
VA	51085	01480132	Hanover County	1211818312	12652671	467.886	4.885	37.760215	-77.491317                                                                                                                 
VA	51087	01480133	Henrico County	605180344	28932787	233.661	11.171	37.631269	-77.651922                                                                                                                 
VA	51089	01502770	Henry County	990282309	5272093	382.35	2.036	36.781479	-79.759231                                                                                                                      
VA	51091	01673774	Highland County	1075266902	1791758	415.163	0.692	38.366243	-79.564472                                                                                                                 
VA	51093	01702378	Isle of Wight County	817574799	122145854	315.667	47.161	36.901418	-76.707569                                                                                                          
VA	51095	01480135	James City County	368724589	95245989	142.365	36.775	37.324837	-76.777888                                                                                                              
VA	51097	01480136	King and Queen County	816239120	28893748	315.152	11.156	37.717772	-76.905581                                                                                                          
VA	51099	01480137	King George County	465122891	21198264	179.585	8.185	38.277218	-77.162616                                                                                                              
VA	51101	01480138	King William County	709471336	31141592	273.928	12.024	37.70826	-77.091054                                                                                                             
VA	51103	01480139	Lancaster County	345238881	254114185	133.297	98.114	37.704843	-76.412663                                                                                                              
