GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
1530,02418969,Houlton Maliseet Off-Reservation Trust Land,1651205,0,0.638,0.,46.188832,-67.805941
1530,02418969,Houlton Maliseet Reservation,3321528,22653,1.282,0.009,46.180696,-67.814694
1545,00045633,Hualapai Indian Reservation,4121300345,8118425,1591.243,3.135,35.509501,-113.401013
1545,00045633,Hualapai Off-Reservation Trust Land,28178717,0,10.88,0.,35.687513,-113.889236
1550,02109298,Huron Potawatomi Off-Reservation Trust Land,341470,0,0.132,0.,42.29646,-85.074847
1550,02109298,Huron Potawatomi Reservation,502198,18193,0.194,0.007,42.104887,-85.261407
1555,02418972,Immokalee Reservation,2513942,21068,0.971,0.008,26.402626,-81.413469
1560,00243797,Inaja and Cosmit Reservation,3484656,0,1.345,0.,33.010512,-116.641643
1575,02418973,Indian Township Reservation,97216884,17867564,37.536,6.899,45.289867,-67.61935
1590,00479831,Iowa (KS-NE) Off-Reservation Trust Land,639440,0,0.247,0.,39.968936,-95.382153
1590,00479831,Iowa (KS-NE) Reservation,50884153,15537,19.646,0.006,39.997169,-95.382319
1610,01616981,Isabella Off-Reservation Trust Land,4249349,27650,1.641,0.011,43.921956,-83.922387
1610,01616981,Isabella Reservation,560580958,4425892,216.442,1.709,43.676112,-84.780745
1625,01934338,Isleta Pueblo,855026227,2052388,330.127,0.792,34.891384,-106.666203
1640,00226085,Jackson Rancheria,1185630,0,0.458,0.,38.384866,-120.722627
1655,02418978,Jamestown S'Klallam Off-Reservation Trust Land,1092511,18775,0.422,0.007,48.119267,-123.172969
1655,02418978,Jamestown S'Klallam Reservation,46014,15832,0.018,0.006,48.022373,-123.011053
1670,02418979,Jamul Indian Village,59534,0,0.023,0.,32.702651,-116.870852
1685,00916031,Jemez Pueblo,361712282,13020,139.658,0.005,35.759354,-106.882109
1690,02453210,Jena Band of Choctaw Reservation,262652,0,0.101,0.,31.438102,-92.497824
1700,01934339,Jicarilla Apache Nation Off-Reservation Trust Land,142644302,450551,55.075,0.174,36.874812,-106.495864
1700,01934339,Jicarilla Apache Nation Reservation,3405649424,10114630,1314.929,3.905,36.554536,-107.067711
1720,00023994,Kaibab Indian Reservation,489295383,19920,188.918,0.008,36.909709,-112.667302
1735,01528426,Kalispel Off-Reservation Trust Land,9623517,187920,3.716,0.073,48.403656,-117.308334
1735,01528426,Kalispel Reservation,18911568,310450,7.302,0.12,48.356477,-117.276365
1750,02418982,Karuk Off-Reservation Trust Land,3807111,62856,1.47,0.024,41.804051,-123.358426
1750,02418982,Karuk Reservation,67101,0,0.026,0.,41.800931,-123.376732
1770,00479833,Kickapoo (KS) Reservation,611934197,1457962,236.269,0.563,39.674648,-95.610927
1775,02418986,Kickapoo (TX) Off-Reservation Trust Land,335153,0,0.129,0.,28.612404,-100.434657
1775,02418986,Kickapoo (TX) Reservation,498226,1492,0.192,0.001,28.610032,-100.43757
1785,02418990,Klamath Reservation,1287196,0,0.497,0.,42.535168,-121.880253
1800,00394860,Kootenai Off-Reservation Trust Land,11906037,229787,4.597,0.089,48.826784,-116.376634
1800,00394860,Kootenai Reservation,90698,0,0.035,0.,48.707748,-116.36983
1815,01577192,Lac Courte Oreilles Off-Reservation Trust Land,2731411,56225,1.055,0.022,45.990898,-91.374893
1815,01577192,Lac Courte Oreilles Reservation,277749876,41304343,107.24,15.948,45.881157,-91.330564
1825,01580845,Lac du Flambeau Reservation,277303839,73007138,107.068,28.188,45.984799,-89.879284
1830,02418993,Lac Vieux Desert Reservation,1084321,0,0.419,0.,46.282524,-89.175918
1840,01934340,Laguna Off-Reservation Trust Land,39155952,169266,15.118,0.065,35.265611,-107.474316
1840,01934340,Laguna Pueblo,1988907832,2068002,767.922,0.798,35.027145,-107.234002
1850,00271928,La Jolla Reservation,34958046,0,13.497,0.,33.265036,-116.849704
1860,01934336,Lake Traverse Off-Reservation Trust Land,562744,0,0.217,0.,45.941213,-96.826916
1860,01934336,Lake Traverse Reservation,3753413749,153527287,1449.201,59.277,45.643635,-97.092371
1880,01616978,L'Anse Off-Reservation Trust Land,362714,0,0.14,0.,46.739758,-88.429463
1880,01616978,L'Anse Reservation,237865009,46825041,91.84,18.079,46.780012,-88.370157
1895,00255947,La Posta Indian Reservation,16560558,0,6.394,0.,32.734509,-116.391249
1915,00853945,Las Vegas Indian Colony,15849278,0,6.119,0.,36.349983,-115.340405
1925,00226975,Laytonville Rancheria,788337,0,0.304,0.,39.66929,-123.500682
1940,00659096,Leech Lake Off-Reservation Trust Land,216159,38150,0.083,0.015,47.27072,-93.94611
1940,00659096,Leech Lake Reservation,2521322954,872818486,973.488,336.997,47.357815,-94.250468
1955,00276402,Likely Rancheria,6237,0,0.002,0.,41.204769,-120.478831
1960,02418998,Little River Off-Reservation Trust Land,3905792,0,1.508,0.,43.942385,-86.238369
1960,02418998,Little River Reservation,702364,7307,0.271,0.003,44.286276,-86.24874
1963,02419000,Little Traverse Bay Off-Reservation Trust Land,2604575,9574,1.006,0.004,45.698486,-84.810903
1963,02419000,Little Traverse Bay Reservation,2236756,928,0.864,0.,45.354375,-84.978622
1970,00275865,Lone Pine Reservation,952613,0,0.368,0.,36.596883,-118.056042
1980,00227643,Lookout Rancheria,163356,0,0.063,0.,41.213876,-121.093398
1995,00272219,Los Coyotes Reservation,101560614,0,39.213,0.,33.297698,-116.55602
2015,00850417,Lovelock Indian Colony,83593,0,0.032,0.,40.1739,-118.483211
2030,01267015,Lower Brule Off-Reservation Trust Land,14565492,0,5.624,0.,44.184618,-100.174876
2030,01267015,Lower Brule Reservation,874857752,119530276,337.784,46.151,44.092308,-99.755874
2040,01528424,Lower Elwha Off-Reservation Trust Land,3878653,24871,1.498,0.01,48.128844,-123.548618
2040,01528424,Lower Elwha Reservation,3279120,203884,1.266,0.079,48.146845,-123.558528
2055,00647264,Lower Sioux Indian Community,6962148,124999,2.688,0.048,44.530848,-94.990519
2070,01511578,Lummi Reservation,54064326,43297721,20.874,16.717,48.767362,-122.637845
2075,00227877,Lytton Rancheria,21937,0,0.008,0.,37.952576,-122.334403
2085,01511577,Makah Indian Reservation,121171546,599608,46.785,0.232,48.333855,-124.635404
2100,01985200,Manchester-Point Arena Rancheria,1524368,0,0.589,0.,38.93569,-123.682571
2115,00245463,Manzanita Off-Reservation Trust Land,11818,0,0.005,0.,32.749321,-116.377914
2115,00245463,Manzanita Reservation,18572897,0,7.171,0.,32.754717,-116.346112
2130,00023997,Maricopa (Ak Chin) Indian Reservation,84992720,0,32.816,0.,33.00793,-112.041973
2130,00023997,Maricopa (Ak Chin) Off-Reservation Trust Land,1268407,19164,0.49,0.007,33.081848,-112.085925
2145,00212541,Mashantucket Pequot Off-Reservation Trust Land,1159790,0,0.448,0.,41.450992,-71.972601
2145,00212541,Mashantucket Pequot Reservation,5454689,0,2.106,0.,41.466053,-71.974703
2147,02786720,Mashpee Wampanoag Trust Land,1276676,16972,0.493,0.007,41.639108,-70.475443
2150,02547776,Match-e-be-nash-she-wish Band of Pottawatomi Off-Reservation Trust Land,1666662,52672,0.644,0.02,42.641419,-85.657502
